S1,S2,S3
resources/2/r_0_art_rain.jpeg,resources/2/r_2_art_rain.jpeg,resources/2/r_5_art_rain.jpeg
resources/2/r_1_norain.jpeg,resources/2/r_2_norain.jpeg,resources/2/r_5_norain.jpeg
resources/2/r_1_art_rain.jpeg,resources/2/r_2_art_rain.jpeg,resources/2/r_5_art_rain.jpeg
resources/2/r_1_art_rain.jpeg,resources/2/r_2_art_rain.jpeg,resources/2/r_4_art_rain.jpeg
resources/2/r_5_norain.jpeg,resources/2/r_3_norain.jpeg,resources/2/r_0_norain.jpeg
resources/2/r_1_art_rain.jpeg,resources/2/r_4_art_rain.jpeg,resources/2/r_5_art_rain.jpeg
resources/2/r_4_rain.jpeg,resources/2/r_3_rain.jpeg,resources/2/r_1_rain.jpeg
resources/2/r_0_rain.jpeg,resources/2/r_1_rain.jpeg,resources/2/r_3_rain.jpeg
resources/2/r_0_norain.jpeg,resources/2/r_1_norain.jpeg,resources/2/r_3_norain.jpeg
resources/2/r_5_rain.jpeg,resources/2/r_1_rain.jpeg,resources/2/r_0_rain.jpeg
